default, 0.0    ,2.0    ,4.0    ,6.0    ,8.0    ,10.0
    0.0, -0.3   ,-0.3   ,-0.3   ,-0.3   ,-0.3   ,-0.3
    0.1, -0.25  ,-0.2    ,0.0    ,0.0    ,0.0    ,0.0
    0.2, -0.20  ,-0.1   ,0.01   ,0.01   ,0.01   ,0.01
    0.3, -0.10  ,0.05   ,0.05   ,0.05   ,0.05   ,0.05
    0.4, -0.05   ,0.1    ,0.1    ,0.1    ,0.1    ,0.1
    0.5, 0.00   ,0.175  ,0.175  ,0.175  ,0.175  ,0.175
    0.6, 0.05   ,0.25   ,0.25   ,0.25   ,0.25   ,0.25 
    0.8, 0.50   ,0.7    ,0.7    ,0.7    ,0.7    ,0.7 
    1.0, 1.00   ,1.0    ,1.0    ,1.0    ,1.0    ,1.0 
